train_d1,train_d2,train_d3
1,1,4
1,2,2
1,3,10
1,4,4
1,5,2
1,6,1
1,7,1
1,8,1
1,9,3
1,10,9
1,11,2
1,12,58
1,13,1
1,14,4
1,15,2
1,16,13
1,17,6
1,18,2
1,19,4
1,20,6
1,21,1
1,22,1
1,23,54
1,24,3
1,25,3
1,26,1
1,27,11
1,28,2
1,29,90
1,30,20
1,31,3
1,32,6
1,33,27
1,34,1
1,35,3
1,36,1
1,37,1
1,38,4
1,39,3
1,40,3
1,41,2
1,42,9
1,43,1
1,44,1
1,45,1
1,46,2
1,47,1
1,48,9
1,49,3
1,50,1
1,51,5
1,52,5
1,53,1
1,54,1
1,55,2
1,56,1
1,57,1
1,58,1
1,59,1
1,60,24
1,61,1
1,62,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,6
1,68,1
1,69,1
1,70,1
1,71,2
1,72,2
1,73,3
1,74,2
1,75,1
1,76,1
1,77,1
1,78,1
1,79,1
1,80,1
1,81,19
1,82,2
1,83,3
1,84,1
1,85,1
1,86,1
1,87,1
1,88,5
1,89,8
1,90,2
1,91,4
1,92,3
1,93,11
1,94,1
1,95,8
1,96,1
1,97,1
1,98,2
1,99,3
1,100,3
1,101,4
1,102,4
1,103,1
1,104,7
1,105,2
1,106,2
1,107,1
1,108,5
1,109,1
1,110,3
1,111,1
1,112,1
1,113,2
1,114,3
1,115,1
1,116,1
1,117,4
1,118,1
1,119,3
1,120,2
1,121,2
1,122,9
1,123,1
1,124,2
1,125,2
1,126,5
1,127,2
1,128,2
1,129,2
1,130,2
1,131,2
1,132,1
1,133,1
1,134,1
1,135,2
1,136,3
1,137,4
1,138,2
1,139,8
1,140,1
1,141,1
1,142,10
1,143,1
1,144,4
1,145,1
1,146,1
1,147,1
1,148,1
1,149,2
1,150,4
1,151,3
1,152,5
1,153,1
1,154,1
1,155,2
1,156,3
1,157,1
1,158,6
1,159,2
1,160,2
1,161,1
1,162,1
1,163,1
1,164,1
1,165,2
1,166,2
1,167,3
1,168,1
1,169,1
1,170,1
1,171,2
1,172,2
1,173,3
1,174,1
1,175,1
1,176,1
1,177,4
1,178,1
1,179,1
1,180,1
1,181,1
1,182,1
1,183,1
1,184,1
1,185,1
1,186,1
1,187,1
1,188,1
1,189,1
1,190,2
1,191,1
1,192,1
1,193,1
1,194,1
1,195,1
1,196,1
1,197,1
1,198,1
1,199,1
1,200,4
1,201,3
1,202,2
1,203,1
1,204,3
1,205,2
1,206,3
1,207,2
1,208,3
1,209,2
1,210,2
1,211,2
1,212,1
1,213,1
1,214,1
1,215,1
1,216,1
1,217,1
1,218,1
1,219,1
1,220,1
1,221,1
1,222,1
1,223,2
1,224,1
1,225,1
1,226,2
1,227,1
1,228,1
1,229,2
1,230,2
1,231,1
1,232,1
1,233,8
1,234,3
1,235,2
1,236,2
1,237,1
1,238,1
1,239,2
1,240,1
1,241,1
1,242,2
1,243,1
1,244,1
1,245,2
1,246,1
1,247,1
1,248,1
1,249,2
1,250,1
1,251,7
1,252,2
1,253,2
1,254,2
1,255,3
1,256,1
1,257,1
1,258,1
1,259,1
1,260,1
1,261,1
1,262,1
1,263,1
1,264,3
1,265,1
1,266,1
1,267,1
1,268,1
1,269,1
1,270,1
1,271,1
1,272,1
1,273,2
1,274,1
1,275,1
1,276,1
1,277,1
1,278,1
1,279,1
1,280,1
1,281,1
1,282,1
1,283,1
1,284,1
1,285,1
1,286,2
1,287,3
1,288,3
1,289,3
1,290,3
1,291,1
1,292,1
1,293,2
1,294,2
1,295,5
1,296,1
1,297,4
1,298,2
1,299,2
1,300,1
1,301,8
1,302,1
1,303,1
